,index_left,OBJECT_ID,GEMEENTE,KAD_GEM,SECTIE,PERCEELNUM,DEEL,NUMMER,REEKS_CODE,STUK_KIK,SNAPSHOT_R,perceel_id,bag_pnd,geometry
0,,,,,,,,,,,,,0402100001491021,"MULTIPOLYGON (((140723.334 470872.42, 140728.295 470872.347, 140728.344 470883.572, 140724.653 470883.558, 140723.609 470882.794, 140723.439 470882.794, 140723.334 470872.42)))"
1,,,,,,,,,,,,,0402100001491477,"MULTIPOLYGON (((140711.674 470849.913, 140711.326 470847.695, 140710.404 470846.744, 140709.591 470841.591, 140710.687 470840.167, 140712.286 470839.902, 140713.6 470839.114, 140721.203 470837.939, 140722.747 470847.946, 140724.736 470847.63, 140725.056 470849.703, 140726.36 470860.04, 140725.62 470860.117, 140722.06 470860.491, 140718.723 470860.842, 140714.957 470861.237, 140714.319 470854.86, 140713.923 470850.305, 140712.744 470850.49, 140711.674 470849.913)))"
2,50.0,13040187870000,Hilversum,HVS00,N,1878.0,60868,110,,4  6086800110,BDC27C40B30-1D4F139EDB8,HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
3,50.0,13040187870000,Hilversum,HVS00,N,1878.0,60868,110,,4  6086800110,BDC27C40B30-1D4F139EDB8,HVS00N1878,0402100001511733,"MULTIPOLYGON (((140726.461 470869.915, 140726.34 470869.574, 140722.89 470869.721, 140722.06 470860.491, 140725.62 470860.117, 140725.729 470861.129, 140726.634 470869.905, 140726.461 470869.915)))"
4,50.0,13040187870000,Hilversum,HVS00,N,1878.0,60868,110,,4  6086800110,BDC27C40B30-1D4F139EDB8,HVS00N1878,0402100001487367,"MULTIPOLYGON (((140728.292 470871.71, 140728.283 470869.812, 140732.984 470869.547, 140733.029 470870.554, 140733.181 470873.962, 140733.317 470876.4, 140733.716 470883.572, 140728.344 470883.572, 140728.295 470872.347, 140729.082 470872.336, 140729.084 470871.7, 140728.292 470871.71)))"
5,50.0,13040187870000,Hilversum,HVS00,N,1878.0,60868,110,,4  6086800110,BDC27C40B30-1D4F139EDB8,HVS00N1878,0402100001511731,"MULTIPOLYGON (((140728.283 470869.812, 140728.292 470871.71, 140726.441 470871.732, 140726.461 470869.915, 140726.634 470869.905, 140728.283 470869.812)))"
6,50.0,13040187870000,Hilversum,HVS00,N,1878.0,60868,110,,4  6086800110,BDC27C40B30-1D4F139EDB8,HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
7,50.0,13040187870000,Hilversum,HVS00,N,1878.0,60868,110,,4  6086800110,BDC27C40B30-1D4F139EDB8,HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
